treatment,counts_live_bacteria_per_wet_g
ABX,664000.0
ABX,498000.0
ABX,1340000.0
ABX,67900000.0
placebo,10100000000.0
placebo,204000000.0
placebo,3290000.0
placebo,156000000.0
